input	gold
するとゆきおはしんゆうのせきねあきにそのはなしをつたえるよういう	すると由紀夫は親友の関根秋にその話を伝えるよう言う
あきはあにがもとさよこあねもわたすだけのさよこさんねんにいちどではないとしにさよこのてがみとかぎをわたすものをつとめたためさよこでんせつにくわしくゆきおはあきにさよこのはなしをきかせてもらっていた	秋は兄が元サヨコ姉も渡すだけのサヨコ3年に1度ではない年にサヨコの手紙と鍵を渡す者を務めたためサヨコ伝説に詳しく由紀夫は秋にサヨコの話を聞かせてもらっていた
あきのしるせつではさよこはげきをせいさくしがくえんさいでじょうえんさせるのだという	秋の知る説ではサヨコは劇を制作し学園祭で上演させるのだという
そしてさよこがすべてをせいこうさせればそのとしはだいがくごうかくりつがいちじるしくじょうしょうししっぱいすればごうかくりつあっかというふうんがおとずれるという	そしてサヨコがすべてを成功させればその年は大学合格率が著しく上昇し失敗すれば合格率悪化という不運が訪れるという
しかしかこのさよこのなかにはじこししたりみずからばくろしてやくをおりよーとしたところじゅけんにぜんぱいしたりとふきつなしっぱいもあったらしい	しかし過去のサヨコの中には事故死したり自ら暴露して役を降りようとしたところ受験に全敗したりと不吉な失敗もあったらしい
ことしはさんねんにいちどのさよこがえらばれるろくどめのとしすなわちろくばんめのさよこのとしだった	今年は3年に1度のサヨコが選ばれる6度目の年すなわち六番目のサヨコの年だった
しかしかとうはあるよるじたくでしんぞうほっさをおこしてちょうきにゅういん	しかし加藤はある夜自宅で心臓発作を起こして長期入院
あきのもとにかとうからかぎがおくりつけられいしぶみをみてというでんごんがたくされた	秋の元に加藤から鍵が送り付けられ碑を見てという伝言が託された
あきはいちにんこうていのすみにあるいしぶみをみにいく	秋は1人校庭の隅にある碑を見に行く
それはいちにねんまえにじこししたにばんめのさよこのいれいひでうらにはつむらいさごせいしきょうねんじゅうななときざまれていた	それは12年前に事故死した二番目のサヨコの慰霊碑で裏には津村沙世子享年十七と刻まれていた
とうじょうじんぶつしょうせつ	登場人物小説
さんねんじゅうくみのせいと	三年十組の生徒
しゃしんぶしょぞく	写真部所属
せいせきはがくねんとっぷくらすでにんげんかんさつがすき	成績は学年トップクラスで人間観察が好き
きゅうがくねんじょうのあにはさんばんめのさよこよんがくねんじょうのあねはわたすだけのさよこだったためあきもさよこのでんせつにくわしくきょうみをもつ	9学年上の兄は三番目のサヨコ4学年上の姉は渡すだけのサヨコだったため秋もサヨコの伝説に詳しく興味を持つ
せいとうなろくばんめのさよこであったかとうとはしたしくはなかったがとつぜんかぎをたくされる	正当な六番目のサヨコであった加藤とは親しくはなかったが突然鍵を託される
それからながらくさよことしてのこうどうはとらなかったがそのあいだにもうひとりのさよこかもしれないすなせいしとのなかがふかまっていく	それから長らくサヨコとしての行動はとらなかったがその間にもうひとりのサヨコかもしれない沙世子との仲が深まってゆく
よんがつにてんにゅうしてきたさんねんじゅうくみのせいと	4月に転入してきた三年十組の生徒
せいせきゆうしゅうですぽーつばんのうであるうえにせいかくがかいかつなびしょうじょ	成績優秀でスポーツ万能である上に性格が快活な美少女
おやがてんきんぞくでてんこうがおーかった	親が転勤族で転校が多かった
あきまさこゆきおとなかよくなりよんにんでなつのうみへでかけるなどこうこうさいごのせいかつをおうかするいっぽうなぜかさよこのかぎをもっておりかげではさよこにまつわるなぞめーたこうどうをとりつづける	秋雅子由紀夫と仲良くなり4人で夏の海へ出かけるなど高校最後の生活を謳歌する一方なぜかサヨコの鍵を持っており陰ではサヨコにまつわる謎めいた行動をとり続ける
さんねんじゅうくみのせいと	三年十組の生徒
じょしばすけぶしょぞく	女子バスケ部所属
しぎょうしきのひにすなせいしのすがたにみとれまっさきになかよくなった	始業式の日に沙世子の姿に見とれ真っ先に仲良くなった
のちにさのみかことすなせいしがなかよくなったときにはやきもちをやくほどであった	のちに佐野美香子と沙世子が仲良くなった時にはヤキモチを妬くほどであった
ゆきおにおもいをよせている	由紀夫に思いを寄せている
さんねんじゅうくみのせいと	三年十組の生徒
だんしばすけぶしょぞく	男子バスケ部所属
あきとはしょうがっこうからのしんゆう	秋とは小学校からの親友
りくつでものごとをかんがえるのがとくいではないがあきからはするどいどうぶつてきかんをはっきするとひょーされている	理屈で物事を考えるのが得意ではないが秋からは鋭い動物的カンを発揮すると評されている
まさこのことがすき	雅子のことが好き
さんねんじゅうくみのせいと	三年十組の生徒
じょしばすけぶしょぞく	女子バスケ部所属
まさこのしんゆうですなせいしともしたしくなる	雅子の親友で沙世子とも親しくなる
たかはしというかれしがいる	高橋という彼氏がいる
さんねんじゅうくみのせいと	三年十組の生徒
せいとうなろくばんめのさよこ	正当な六番目のサヨコ
すなせいしのかぎをうばうためにきょうしつをあらした	沙世子の鍵を奪うために教室を荒らした
しかししんぞうほっさでにゅういんしかぎをあきにたくする	しかし心臓発作で入院し鍵を秋に託す
ゆきおがどうみてもべんきょうしかとりえがなさそうながりべんだとひょうするたいぷ	由紀夫がどう見ても勉強しか取り柄がなさそうなガリ勉だと評するタイプ
さんねんじゅうくみのせいと	三年十組の生徒
じゅうどうぶしゅしょう	柔道部主将
うみべのまちのりょうていのあととりむすこ	海辺の町の料亭の跡取り息子
あかるいせいかくでがくえんさいのくらすきかくうたごえきっさみぞぐちをはつあんしててんちょうをつとめたりじたくのりょうていでくらすのぼうねんかいをひらいたりした	明るい性格で学園祭のクラス企画うたごえ喫茶みぞぐちを発案して店長を務めたり自宅の料亭でクラスの忘年会を開いたりした
さんねんじゅうくみのたんにん	三年十組の担任
きょうかはにっぽんし	教科は日本史
こうりつではめずらしくじゅうねんいじょうおなじこうこうにきんむしているめいぶつきょうし	公立では珍しく十年以上同じ高校に勤務している名物教師
がくえんさいじっこういいんちょう	学園祭実行委員長
いいんかいにはさんねんにいちどさよこほんにんとせっしょくすることなくさよこがせいさくするえんげきをじょうえんするためのまにゅあるがうけつがれておりそれにしたがうたちばである	委員会には3年に1度サヨコ本人と接触することなくサヨコが制作する演劇を上演するためのマニュアルが受け継がれておりそれに従う立場である
あきとはしたしいなかでともにすなせいしのしょうたいなどについてはなしあう	秋とは親しい仲でともに沙世子の正体などについて話し合う
さんねんさんくみのせいと	三年三組の生徒
あきにこいごころをいだくかみのながいびしょうじょ	秋に恋心を抱く髪の長い美少女
ぶんげいぶにしょぞくしていた	文芸部に所属していた
あるときからすなせいしときゅうになかよくなりすなせいしにあとおしされてあきにこくはくをこころみる	ある時から沙世子と急に仲良くなり沙世子に後押しされて秋に告白を試みる
あきのちちでさいばんかん	秋の父で裁判官
おおがらでしょうしょうじだいさくごてきなふくそうをこのむ	大柄で少々時代錯誤的な服装を好む
あきのよんがくねんじょうのあねでとしょしつのうみのしゅじんこう	秋の4学年上の姉で図書室の海の主人公
よんねんまえのわたすだけのさよこ	4年前の渡すだけのサヨコ
ろくばんめのさよこほんぺんではあねとげんきゅうされるだけでなまえもすがたもとうじょうしない	六番目の小夜子本編では姉と言及されるだけで名前も姿も登場しない
てれびどらま	テレビドラマ
にぜろぜろぜろねんよんがつはちにちからろくがつによんかにかけてえぬえいちけーきょういくてれびじょんまいしゅうどようひいちはちぜろぜろからのどらまあいのしでほうそうされた	2000年4月8日から6月24日にかけてNHK教育テレビジョン毎週土曜日1800からのドラマ愛の詩で放送された
ぜんいちにかい	全12回
たかいにんきをほこったさくひんでにぜろぜろいちねんにはびでおかでぃーぶいでぃーか	高い人気を誇った作品で2001年にはビデオ化DVD化
たびたびさいほうそうもされている	たびたび再放送もされている
ほんほうそうじのみほんぺんのあとにみにこーなーさよこへのでんごんがほうそうされたでぃーぶいでぃーはんにとくてんえいぞうとしてしゅうろくされている	本放送時のみ本編の後にミニコーナーサヨコへの伝言が放送されたDVD版に特典映像として収録されている
あらすじてれびどらま	あらすじテレビドラマ
うしおだれいがかようちゅうがっこうにはさよこというふしぎないいつたえがあった	潮田玲が通う中学校にはサヨコという不思議な言い伝えがあった
れいはさよこにえらばれたおさななじみのせきねあきにたのんてさよこをやらせてもらうことになった	玲はサヨコに選ばれた幼馴染の関根秋に頼んでサヨコをやらせてもらうことになった
ほかのだれにもさよこであることをしられないように	他の誰にもサヨコであることを知られないように
しぎょうしきのあされいがいちつめのやくそくをじっこうしにいくととだなにはいっているはずのかびんがすでにしょうめんげんかんにだされあかいばらのはなたばがいけてあった	始業式の朝玲が1つ目の約束を実行しに行くと戸棚に入っているはずの花瓶がすでに正面玄関に出され赤いバラの花束が生けてあった
がくぜんとするれいのみみにすずのおとがきこえそのおとをおってみるとはしりさるじょしせいとのうしろすがたが	愕然とする玲の耳に鈴の音が聞こえその音を追ってみると走り去る女子生徒の後ろ姿が
れいはあわててあとをおうがみうしなってしまう	玲は慌てて後を追うが見失ってしまう
さらにしぎょうしきのさいちゅうにたいいくかんのしょうめいがらっかするじこがおこる	さらに始業式の最中に体育館の照明が落下する事故が起こる
せいとたちはさよこがやったとさわぎれいはらっかしたしょうめいのそばにじぶんがもってきたあかいちゅーりっぷのはながいちつおちているのをみつける	生徒たちはサヨコがやったと騒ぎ玲は落下した照明のそばに自分が持ってきた赤いチューリップの花が1つ落ちているのを見つける
そしてしぎょうしきのあとれいのくらすにつむらいさごせいしというじょしせいとがてんにゅうしくらすはそうぜんとなる	そして始業式の後玲のクラスに津村沙世子という女子生徒が転入しクラスは騒然となる
れいはいちつめのやくそくをじっこうしたのはすなせいしではないかとかくしんしかのじょとろくばんめのさよこをかけてばすけでしょうぶをする	玲は1つ目の約束を実行したのは沙世子ではないかと確信し彼女と六番目のサヨコを賭けてバスケで勝負をする
しかしとちゅうですなせいしがふしょうしたためけっちゃくをつけることができなかった	しかし途中で沙世子が負傷したため決着をつけることができなかった
あるひにねんせいのてすとのまんてんしゅとくしゃめいがはりだされれいたちはどのきょうかにもすなせいしのなまえがあることにがくぜんとする	ある日2年生のテストの満点取得者名が貼りだされ玲たちはどの教科にも沙世子の名前があることに愕然とする
あきはすなせいしがちょうしんがくこうからこうりつのがっこうにてんにゅうしてきたことにぎもんをかんじえらんたりゆうをたずねるとすなせいしはよばれたからとだけこたえた	秋は沙世子が超進学校から公立の学校に転入してきたことに疑問を感じ選んだ理由を訊ねると沙世子は呼ばれたからとだけ答えた
そんなおりれいはもうひとりのさよこさんへ	そんな折玲はもう一人のサヨコさんへ
かぎをかえしてくださいとかかれたてがみをみつけてはらをたてそちらこそかぎとだいほんをかえしてくださいとかいてすなせいしのくつばこにいれる	鍵を返して下さいと書かれた手紙を見つけて腹を立てそっちこそ鍵と台本を返して下さいと書いて沙世子の靴箱に入れる
しかしさよこのしょうたいがしられたときほんもののさよこがおこってわざわいをおこすといううわさをきききょうふにかられててがみをとりもどそーとするがすでになくなっていた	しかしサヨコの正体が知られたとき本物のサヨコが怒って災いを起こすという噂を聞き恐怖に駆られて手紙を取り戻そうとするが既になくなっていた
きたくごれいはにちようのゆうがたがっこうでまつというすなせいしからのでんわがあったことをしる	帰宅後玲は日曜の夕方学校で待つという沙世子からの電話があったことを知る
れいをしんぱいしてがっこうにかけつけたあきはそこにぐうぜんいあわせたどうきゅうせいのかとうにあきがさよこなのではないかといわれるがとりあわずにかとうとわかれる	玲を心配して学校に駆けつけた秋はそこに偶然居合わせた同級生の加藤に秋がサヨコなのではないかと言われるが取り合わずに加藤と別れる
あきはけっきょくににんにあえずすなせいしのいえにでんわをかけるがすなせいしはおりませんとだけいわれてきられてしまう	秋は結局2人に会えず沙世子の家に電話を掛けるが沙世子はおりませんとだけ言われて切られてしまう
いっぽうれいはすなせいしとたいめんするがわたくしもよびだされたといわれあぜんとする	一方玲は沙世子と対面するが私も呼び出されたと言われ唖然とする
すなせいしはれいにがっこうちかくのこくどうでおこったじこのことそしてじこでしんたせいとのはなしをはじめる	沙世子は玲に学校近くの国道で起こった事故のことそして事故で死んだ生徒の話を始める
すなせいしがなにものなのかとまどうれいにたいしてすなせいしはいいはなつ	沙世子が何者なのか戸惑う玲に対して沙世子は言い放つ
もどってきたの	戻ってきたの
わたくしがろくばんめのさよこよ	私が六番目のサヨコよ
しかしににんをびこうしていたかとうにそのことばをきかれてしまう	しかし2人を尾行していた加藤にその言葉を聞かれてしまう
ににんはかとうをくちどめするためにわかれてかれをおう	2人は加藤を口止めするために分かれて彼を追う
かとうはこうていまでもどってきたがすなせいしにおいつかれる	加藤は校庭まで戻ってきたが沙世子に追いつかれる
よくじつかとうがずだのほっさでにゅういんしたことをしったれいとあきはいしぶみをみてというかとうのでんごんをうけとりこうていのかたすみにあるいしぶみにきざまれたもじをみる	翌日加藤が喘息の発作で入院したことを知った玲と秋は碑を見てという加藤の伝言を受け取り校庭の片隅にある碑に刻まれた文字を見る
そこにはしょうわろくじゅうさんねんつむらいさごせいしきょうねんじゅうごときざまれていた	そこには昭和六十三年津村沙世子享年十五と刻まれていた
とうじょうじんぶつきゃすとてれびどらま	登場人物キャストテレビドラマ
しゅじんこう	主人公
どらまはんおりじなるのじんぶつ	ドラマ版オリジナルの人物
ちゅうがくにねんせい	中学2年生
じょしばすけぶのほーぷ	女子バスケ部のホープ
あかるくげんきでまっすぐなせいかく	明るく元気でまっすぐな性格
せきねあきがけいしょうしたさよこのかぎをゆずってもらいみずからろくばんめのさよこにりっこうほする	関根秋が継承したサヨコの鍵を譲ってもらい自ら六番目のサヨコに立候補する
しゅういのにんげんにめぐまれたかんきょうでそだったためこまるとすぐにたにんをたよるけいこうがある	周囲の人間に恵まれた環境で育ったため困るとすぐに他人を頼る傾向がある
ほんにんはじぶんをどこにでもいるふつうのおんなのことしょーしている	本人は自分をどこにでもいる普通の女の子と称している
おなじくらすおなじぶのはなぐうまさことはしんゆう	同じクラス同じ部の花宮雅子とは親友
あきとはおさななじみのあいだがらだったがつむらさよしとしたしくなってからはややそえんになる	秋とは幼なじみの間柄だったが津村沙世子と親しくなってからはやや疎遠になる
すなせいしにつよいあこがれをいだく	沙世子に強いあこがれを抱く
しゃしんぶしょぞく	写真部所属
ぜんねんにしんぞうしゅじゅつでちょうきけっせきしたためりゅうねんしれいのくらすめーとに	前年に心臓手術で長期欠席したため留年し玲のクラスメートに
くーるでおとなびたせいかくでありちばのよびこうでれべるのたかいくらすにはいるほどのしゅうさい	クールで大人びた性格であり千葉の予備校でレベルの高いクラスに入るほどの秀才
せいとうなろくばんめのさよこだがれいのねついにまけてさよこのかぎをゆずる	正当な六番目のサヨコだが玲の熱意に負けてサヨコの鍵を譲る
りょうしんはりこんしておりははおやとににんくらし	両親は離婚しており母親と2人暮らし
すなせいしのことをつよくけいかいしている	沙世子のことを強く警戒している
よんがつにてんにゅうしてきたれいのくらすめーと	4月に転入してきた玲のクラスメート
じょしばすけぶににゅうぶ	女子バスケ部に入部
せいせきゆうしゅうですぽーつばんのうであるうえにびじん	成績優秀でスポーツ万能である上に美人
しょっちゅうてんこうするせいかせっきょくてきにせいとたちとなれあおーとはしない	しょっちゅう転校するせいか積極的に生徒たちと馴れ合おうとはしない
もうひとりのろくばんめのさよこ	もう一人の六番目のサヨコ
じぶんのことをとくべつなちからもなにもないただのいちよんさいのおんなのこといっているがふかのうのないじぶんのじんせいにたいくつしている	自分のことを特別な力も何もない只の14歳の女の子と言っているが不可能の無い自分の人生に退屈している
こうていはずれにあるじこししたじょせいとのいれいひにほられたなまえとはどうせいどうめいあまりにもたいみんぐがよすぎるへんにゅうにおおくのさよこでんせつをしるせいとたちからはぎねんのめをむけられていた	校庭外れにある事故死した女生徒の慰霊碑に彫られた名前とは同姓同名余りにもタイミングが良すぎる編入に多くのサヨコ伝説を知る生徒たちからは疑念の目を向けられていた
れいのくらすのがっきゅういいんちょう	玲のクラスの学級委員長
じょしばすけぶしょぞく	女子バスケ部所属
あかるくしっかりものだがせきにんかんがつよくしんねんをたっせいするためにはなにものをもぎせいにすることをいとわないめんももっている	明るくしっかり者だが責任感が強く信念を達成するためには何者をも犠牲にすることを厭わない面も持っている
くちよりさきにてがでるほう	口より先に手が出るほう
さよこにつよいこだわりをもつ	サヨコに強いこだわりを持つ
れいとはしんゆう	玲とは親友
にねんせいでれいたちのとなりのくらす	2年生で玲たちの隣のクラス
だんしばすけぶしょぞく	男子バスケ部所属
あきのおとうとだがりょうしんのりこんごにちちおやにひきとられあにのあきとみょうじがことなる	秋の弟だが両親の離婚後に父親に引き取られ兄の秋と苗字が異なる
じぶんでじぶんのことをやせいじというくらいあっけらかんとしたせいかく	自分で自分のことを野生児と言うくらいあっけらかんとした性格
みぞぐちとはおなじしょうがっこうのゆうじん	溝口とは同じ小学校の友人
さんねんせい	3年生
ほうそうぶとしんぶんぶにしょぞく	放送部と新聞部に所属
ぶんかさいじっこういいんちょうをつとめておりさよこでんせつにもくわしい	文化祭実行委員長を務めておりサヨコ伝説にも詳しい
あきとはもとくらすめーとしんゆうでともにすなせいしのしょうたいなどについてはなしあっていた	秋とは元クラスメート親友でともに沙世子の正体などについて話し合っていた
れいのくらすめーと	玲のクラスメート
がりべんのだんしせいとでじぶんのせいせきのことにはいつもしんけいをとがらせている	ガリ勉の男子生徒で自分の成績のことにはいつも神経をとがらせている
そのためひとをきずつけるようなことをへいきでいってしまうこともある	その為人を傷つけるようなことを平気で言ってしまうこともある
いえはがっこうのきんじょにあるそばや	家は学校の近所にある蕎麦屋
がりべんのわりにいえのてつだいもよくするようす	ガリ勉の割に家の手伝いもよくする様子
ずだもち	喘息もち
れいたちのたんにん	玲たちの担任
きょうかはりか	教科は理科
じてんしゃつうきんしている	自転車通勤している
げんざいどくしん	現在独身
つむらゆりえのおしえごでありすなせいしにかぎをおくった	津村ゆりえの教え子であり沙世子に鍵を送った
あきゆきおのちちおや	秋由紀夫の父親
からさわどうぶつたんていじむしょしょちょう	唐沢動物探偵事務所所長
うたごえきっさえーでるわいすのじょうれんきゃく	うたごえ喫茶エーデルワイスの常連客
れいのくらすにやってきたきょういくじっしゅうせい	玲のクラスにやってきた教育実習生
きょうかはりか	教科は理科
よんばんめのさよこ	四番目のサヨコ
しんじょうはりゆうのないふしぎなんてない	信条は理由のない不思議なんて無い
れいのくらすめーと	玲のクラスメート
しゅげいぶしょぞく	手芸部所属
いつもあみものをしていておんなのこことばをしようしている	いつも編み物をしていて女の子言葉を使用している
そのたのきゃすと	その他のキャスト
すたっふてれびどらま	スタッフテレビドラマ
ぼうれい	亡霊
みえないてき	見えない敵
なぞのめっせーじ	謎のメッセージ
ふしぎなうたごえ	不思議なうたごえ
たなばたのひみつ	七夕の秘密
わな	罠
きょうふのぶんかさいまえ	恐怖の文化祭前
きょうふのぶんかさいあと	恐怖の文化祭後
さよこはここにいる	サヨコはここにいる
さよこのしょうたい	サヨコの正体
そしてとびらがひらく	そして扉が開く
ほうそうにちじ	放送日時
にぜろにいちねんなながつにはばんぐみはいしんさーびすえぬえいちけーぷらすでのみのがしはいしんもかいし	2021年7月には番組配信サービスNHKプラスでの見逃し配信も開始
りりーす	リリース
でぃーぶいでぃー	DVD
はんばいもとぽにーきゃにおんりーじょんふりーかくかんよんはなししゅうろくぜんさんかんえいぞうとくてんあり	販売元ポニーキャニオンリージョンフリー各巻4話収録全3巻映像特典あり
ぶいえいちえす	VHS
はんばいもとぽにーきゃにおんかくかんにわしゅうろくぜんろくかんえいぞうとくてんなしほんぺんのみ	販売元ポニーキャニオン各巻2話収録全6巻映像特典なし本編のみ
ぶたい	舞台
にぜろににねんいちがつすずきあやおんのぎざかよんろくのしゅえんつるたのりおのそうかんとくでぶたいかされしんこくりつげきじょうしょうげきじょうにてじょうえん	2022年1月鈴木絢音乃木坂46の主演鶴田法男の総監督で舞台化され新国立劇場小劇場にて上演
じょうえんにってい	上演日程
きゃすとぶたい	キャスト舞台
はなさきななぼくらだんぎ	花崎那奈ボクラ団義
みどりたにこうはるかぼくらだんぎ	緑谷紅遥ボクラ団義
すたっふぶたい	スタッフ舞台
きゃくちゅう	脚注
ちゅうしゃく	注釈
しゅってん	出典
がいぶりんく	外部リンク
わらってないてなつやすみをおううた	笑って泣いて夏休みをおう歌
ぶたいろくばんめのさよここうしきさいと	舞台六番目の小夜子公式サイト
かいぐんしかんかいぐんーしかんはつうじょうかいぐんぐんじんのうち	海軍士官かいぐんしかんは通常海軍軍人のうち
にっぽん	日本
だいにっぽんていこくかいぐん	大日本帝国海軍
にっぽんかいぐんのばあいかいぐんにぞくするしかんすなわちこうぎのかいぐんしかんはつぎのものである	日本海軍の場合海軍に属する士官すなわち広義の海軍士官は次の者である
しょうこうかいぐんへいがっこうをそつぎょうしたへいかしょうこうおよびかいぐんきかんがっこうをそつぎょうしたきかんかしょうこう	将校海軍兵学校を卒業した兵科将校及び海軍機関学校を卒業した機関科将校
あるいはよびがくせいおよびよびせいとからしょういににんかんしたへいかきかんかひこうかしょうこういわゆるよびしかん	あるいは予備学生及び予備生徒から少尉に任官した兵科機関科飛行科将校いわゆる予備士官
しかしながらにっぽんかいぐんではほうせいじょうかいぐんしかんすなわちきょうぎのかいぐんしかんとはつぎのものをいう	しかしながら日本海軍では法制上海軍士官すなわち狭義の海軍士官とは次の者をいう
げんえきしょうこうへいかきかんか	現役将校兵科機関科
げんえきのしょうこうそうとうかんぎじゅつかほうむかしゅけいかぐんいかとう	現役の将校相当官技術科法務科主計科軍医科等
かいじょうじえいたい	海上自衛隊
かいじょうじえいたいではさんとうかいいからかいしょうまでをせいしきにはかんぶとしょーしかんれいてきにはしかんとこしょうしている	海上自衛隊では三等海尉から海将までを正式には幹部と称し慣例的には士官と呼称している
あめりかかいぐん	アメリカ海軍
りゃくしょうはたかせんこうせん	略称は高船こうせん
がいよう	概要
こうとうしょうせんがっこうというめいしょうがしようされるようになったのはいちきゅうにごねんたいしょういちよんねんである	高等商船学校という名称が使用されるようになったのは1925年大正14年である
このさいにこうとうしょうせんがっこうとよばれたのはとうきょうこうとうしょうせんがっこうとこうべこうとうしょうせんがっこうのにこうのみである	この際に高等商船学校と呼ばれたのは東京高等商船学校と神戸高等商船学校の2校のみである
いちきゅうよんさんねんしょうわいちはちねんにしみずこうとうしょうせんがっこうがくわわりさんこうとなった	1943年昭和18年に清水高等商船学校が加わり3校となった
これらのさんこうはいちきゅうよんごねんしょうわにぜろねんにとうごうされかんりつこうとうしょうせんがっこうしみずほんこうとうきょうぶんこうこうべぶんこうとなる	これらの3校は1945年昭和20年に統合され官立高等商船学校清水本校東京分校神戸分校となる
こうとうしょうせんがっこうのしょかんはていしんしょうついでもんぶしょうであったがいちぶをかいぐんがしょかんしたためせんぜんはじゅんぐんがっこうとしてもいちつけられた	高等商船学校の所管は逓信省次いで文部省であったが一部を海軍が所管したため戦前は準軍学校としても位置付けられた
せんぜんからげんざいにいたるまでとうきょうではえっちゅうじまのしょうせんがっこうだいがくこうべではふかえのしょうせんがっこうだいがくとよばれてしたしまれている	戦前から現在に至るまで東京では越中島の商船学校大学神戸では深江の商船学校大学と呼ばれて親しまれている
えんかく	沿革
りょうこうともこうかいかときかんかからなりぜんしゃはうんてんしこうかいしせんちょうこうしゃはきかんしきかんちょうのようせいをめざした	両校とも航海科と機関科からなり前者は運転士航海士船長後者は機関士機関長の養成を目指した
こうとうしょうせんがっこうはげんざいのたんかだいがくにそうとうしせんぱくぎょうかいではほんこうとよばれちゅうとうきょういくきかんのしょうせんがっこうはちほうとよばれてくべつされた	高等商船学校は現在の単科大学に相当し船舶業界では本校と呼ばれ中等教育機関の商船学校は地方と呼ばれて区別された
しゅぎょうねんげんはごねんろくかげつをよーしぜんりょうせいであった	修業年限は5年6ケ月を要し全寮制であった
こうしょうはらしんばんいわゆるこんぱすまーくでこうべこうはこんぱすまーくのちゅうおうにおうかがでざいんされたものであった	校章は羅針盤いわゆるコンパスマークで神戸校はコンパスマークの中央に桜花がデザインされたものであった
とうじではめずらしくがいこくごえいごのたこうかいかはふらんすごきかんかはどいつごにたんのうであったためとうじのわかものたちのあこがれのまとになりまたちまたのおんながくせいにもにんきがあった	当時では珍しく外国語英語の他航海科はフランス語機関科はドイツ語に堪能であったため当時の若者たちの憧れの的になりまた巷の女学生にも人気があった
こうとうしょうせんがっこうににゅうこうしたせいとはにゅうがくそくじつかいぐんよびせいとににんめいされてへいせきにはいりちょうへいのたいしょうがいとなる	高等商船学校に入校した生徒は入学即日海軍予備生徒に任命されて兵籍に入り徴兵の対象外となる
たいへいようせんそうかいせんいこうはそつぎょうとどうじにしょうしゅうされるようになった	太平洋戦争開戦以降は卒業と同時に召集されるようになった
とうきょうこうべのこうちはそれぞれぶんこうとなりほんこうはしみずにしゅうやく	東京神戸の校地はそれぞれ分校となり本校は清水に集約
こうべしょうせんだいがくげんざいのこうべだいがくかいじかがくぶはほうてきにはこうべこうとうしょうせんがっこうのこうちでんとうきょういくきのうをけいしょうしたしんせつこうになる	神戸商船大学現在の神戸大学海事科学部は法的には神戸高等商船学校の校地伝統教育機能を継承した新設校になる
ねんぴょう	年表
とうきょうこうとうしょうせんがっこう	東京高等商船学校
いちいちがついちにちみつびしかいしゃはゆうびんきせんみつびしかいしゃしょうせんがっこうをせつりつ	11月1日三菱会社は郵便汽船三菱会社商船学校を設立
いちきゅうななろくねんいちがつによんかじゅぎょうかいし	1976年1月24日授業開始
ほんこうはきゅうしみずこうとうしょうせんがっこうのこうちにしゅうやく	本校は旧清水高等商船学校の校地に集約
きゅうとうきょうこうとうしょうせんがっこうはこうとうしょうせんがっこうとうきょうぶんこうとなる	旧東京高等商船学校は高等商船学校東京分校となる
こうべこうとうしょうせんがっこう	神戸高等商船学校
しみずこうとうしょうせんがっこう	清水高等商船学校
ほんぶがせっちされとうきょうとこうべにぶんこうをせっち	本部が設置され東京と神戸に分校を設置
しみずこうしゃははいしされこくりつしみずかいいんがっこうこうしゃにてんようされた	清水校舎は廃止され国立清水海員学校校舎に転用された
ちょめいなそつぎょうせい	著名な卒業生
かんげんざぶろうしょうせんがっこうそつにっぽんゆうせんきんむごきんかいゆうせんにいせきながさきまるせんちょう	菅源三郎商船学校卒日本郵船勤務後近海郵船に移籍長崎丸船長
べいくぼみつすけとうこうせんこうかいそつにっぽんゆうせんきんむしょだいろうどうだいじん	米窪満亮東高船航海卒日本郵船勤務初代労働大臣
みたかずやとうこうせんこうかいしゅせきにっぽんゆうせんきんむかいぐんかいじょうごえいそうしれいぶちょうさしつちょうかいぐんちゅうさせんごはかいじょうほあんちょうけいびきゅうなんかん	三田一也東高船航海首席日本郵船勤務海軍海上護衛総司令部調査室長海軍中佐戦後は海上保安庁警備救難監
こうがくはかせ	工学博士
いわはらけんぞうとうこうせんそつにっぽんゆうせんきんむしばうらせいさくしょしゃちょうえぬえいちけーかいちょう	岩原謙三東高船卒日本郵船勤務芝浦製作所社長NHK会長
なみきりょうすけとうこうせんきかんそつにっぽんゆうせんにゅうしゃみついぶっさんきんむひがしだかせんきょうじゅなみきせいさくしょそうぎょうしゃ	並木良輔東高船機関卒日本郵船入社三井物産勤務東高船教授並木製作所創業者
すずきせいとうこうせんこうかいそつかいぐんちゅうさかいぼうかんつしまかんちょう	鈴木盛東高船航海卒海軍中佐海防艦対馬艦長
うめばやしたかじかんだかせんきかんそつかいぐんよびいんからげんえきにてんかんしかいぐんこうくうたいのそうじゅうしとなるにっちゅうせんそうでせんしかいぐんたいい	梅林孝次神高船機関卒海軍予備員から現役に転官し海軍航空隊の操縦士となる日中戦争で戦死海軍大尉
やはらひとしつくりとうこうせんこうかいそつだいれんきせんきんむとくせつほうかんぺきんまるかんちょうかいぼうかんふくえかんちょうかいぐんしょうさ	谷原準造東高船航海卒大連汽船勤務特設砲艦北京丸艦長海防艦福江艦長海軍少佐
はいゆうやはらしょうすけのそふ	俳優谷原章介の祖父
せかわなおいちとうこうせんこうかいそつにっぽんゆうせんきんむだいにだいにっぽんかいじけんていきょうかいかいちょう	瀬川直一東高船航海卒日本郵船勤務第二代日本海事検定協会会長
